<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
USDRUB,D,12/12/14,00:00:00,58.1600000
USDRUB,D,13/12/14,00:00:00,58.0945000
USDRUB,D,15/12/14,00:00:00,65.8970000
USDRUB,D,16/12/14,00:00:00,68.3220000
USDRUB,D,17/12/14,00:00:00,61.0450000
USDRUB,D,18/12/14,00:00:00,61.8350000
USDRUB,D,19/12/14,00:00:00,60.5950000
USDRUB,D,20/12/14,00:00:00,59.4202000
USDRUB,D,21/12/14,00:00:00,57.8946000
USDRUB,D,22/12/14,00:00:00,55.3620000
USDRUB,D,23/12/14,00:00:00,54.6350000
USDRUB,D,24/12/14,00:00:00,53.4665000
USDRUB,D,25/12/14,00:00:00,51.6418000
USDRUB,D,26/12/14,00:00:00,53.5897000
USDRUB,D,27/12/14,00:00:00,53.8066000
USDRUB,D,28/12/14,00:00:00,53.9457000
USDRUB,D,29/12/14,00:00:00,57.4641000
USDRUB,D,30/12/14,00:00:00,56.2450000
USDRUB,D,31/12/14,00:00:00,59.2332000
USDRUB,D,01/01/15,00:00:00,56.9930000
USDRUB,D,02/01/15,00:00:00,58.5300000
USDRUB,D,03/01/15,00:00:00,58.8179000
USDRUB,D,05/01/15,00:00:00,60.1817000
USDRUB,D,06/01/15,00:00:00,62.3742000
USDRUB,D,07/01/15,00:00:00,62.0547000
USDRUB,D,08/01/15,00:00:00,59.1579000
USDRUB,D,09/01/15,00:00:00,61.1993000
USDRUB,D,10/01/15,00:00:00,61.6700000
USDRUB,D,11/01/15,00:00:00,61.0000000
USDRUB,D,12/01/15,00:00:00,62.8750000
USDRUB,D,13/01/15,00:00:00,65.2350000
USDRUB,D,14/01/15,00:00:00,64.2300000
USDRUB,D,15/01/15,00:00:00,64.9560000
USDRUB,D,16/01/15,00:00:00,65.1410000
USDRUB,D,17/01/15,00:00:00,65.1621000
USDRUB,D,18/01/15,00:00:00,65.1207000
USDRUB,D,19/01/15,00:00:00,64.9382000
USDRUB,D,20/01/15,00:00:00,65.0071000
USDRUB,D,21/01/15,00:00:00,65.1614000
USDRUB,D,22/01/15,00:00:00,63.7105000
USDRUB,D,23/01/15,00:00:00,63.8450000
USDRUB,D,24/01/15,00:00:00,63.9467000
USDRUB,D,25/01/15,00:00:00,63.8608000
USDRUB,D,26/01/15,00:00:00,68.0762000
USDRUB,D,27/01/15,00:00:00,66.6364000
USDRUB,D,28/01/15,00:00:00,67.4456000
USDRUB,D,29/01/15,00:00:00,68.5961000
USDRUB,D,30/01/15,00:00:00,68.7099000
USDRUB,D,31/01/15,00:00:00,69.9877000
USDRUB,D,02/02/15,00:00:00,68.1241000
USDRUB,D,03/02/15,00:00:00,64.4940000
USDRUB,D,04/02/15,00:00:00,67.6082000
USDRUB,D,05/02/15,00:00:00,66.1781000
USDRUB,D,06/02/15,00:00:00,66.0246000
USDRUB,D,07/02/15,00:00:00,66.9839000
USDRUB,D,08/02/15,00:00:00,66.9778000
USDRUB,D,09/02/15,00:00:00,65.7500000
USDRUB,D,10/02/15,00:00:00,64.9630000
USDRUB,D,11/02/15,00:00:00,65.0945000
USDRUB,D,12/02/15,00:00:00,64.9622000
USDRUB,D,13/02/15,00:00:00,63.1669000
USDRUB,D,14/02/15,00:00:00,63.3344000
USDRUB,D,15/02/15,00:00:00,63.6700000
USDRUB,D,16/02/15,00:00:00,61.8734000
USDRUB,D,17/02/15,00:00:00,62.1241000
USDRUB,D,18/02/15,00:00:00,61.2346000
USDRUB,D,19/02/15,00:00:00,61.8488000
USDRUB,D,20/02/15,00:00:00,61.6592000
USDRUB,D,21/02/15,00:00:00,61.9703000
USDRUB,D,22/02/15,00:00:00,61.9815000
USDRUB,D,23/02/15,00:00:00,63.5841000
USDRUB,D,24/02/15,00:00:00,62.7171000
USDRUB,D,25/02/15,00:00:00,61.2391000
USDRUB,D,26/02/15,00:00:00,60.9701000
USDRUB,D,27/02/15,00:00:00,61.6407000
USDRUB,D,28/02/15,00:00:00,61.5268000
USDRUB,D,01/03/15,00:00:00,61.6494000
USDRUB,D,02/03/15,00:00:00,62.5451000
USDRUB,D,03/03/15,00:00:00,61.8446000
USDRUB,D,04/03/15,00:00:00,61.8330000
USDRUB,D,05/03/15,00:00:00,60.8299000
USDRUB,D,06/03/15,00:00:00,60.1589000
USDRUB,D,07/03/15,00:00:00,60.3591000
USDRUB,D,08/03/15,00:00:00,60.4079000
USDRUB,D,09/03/15,00:00:00,60.1772000
USDRUB,D,10/03/15,00:00:00,61.5977000
USDRUB,D,11/03/15,00:00:00,61.5538000
USDRUB,D,12/03/15,00:00:00,61.0174000
USDRUB,D,13/03/15,00:00:00,61.9783000
USDRUB,D,14/03/15,00:00:00,62.0933000
USDRUB,D,15/03/15,00:00:00,62.2962000
USDRUB,D,16/03/15,00:00:00,61.8797000
USDRUB,D,17/03/15,00:00:00,61.4195000
USDRUB,D,18/03/15,00:00:00,59.0532000
USDRUB,D,19/03/15,00:00:00,59.7618000
USDRUB,D,20/03/15,00:00:00,59.2713000
USDRUB,D,21/03/15,00:00:00,59.2540000
USDRUB,D,22/03/15,00:00:00,59.3083000
USDRUB,D,23/03/15,00:00:00,58.4008000
USDRUB,D,24/03/15,00:00:00,57.5972000
USDRUB,D,25/03/15,00:00:00,57.2941000
USDRUB,D,26/03/15,00:00:00,57.2348000
USDRUB,D,27/03/15,00:00:00,57.2429000
USDRUB,D,28/03/15,00:00:00,57.8036000
USDRUB,D,29/03/15,00:00:00,57.9259000
USDRUB,D,30/03/15,00:00:00,57.4945000
USDRUB,D,31/03/15,00:00:00,58.0886000
USDRUB,D,01/04/15,00:00:00,57.5071000
USDRUB,D,02/04/15,00:00:00,56.4701000
USDRUB,D,03/04/15,00:00:00,56.2703000
USDRUB,D,04/04/15,00:00:00,56.7756000
USDRUB,D,05/04/15,00:00:00,57.0332000
USDRUB,D,06/04/15,00:00:00,55.3166000
USDRUB,D,07/04/15,00:00:00,54.8641000
USDRUB,D,08/04/15,00:00:00,53.6066000
USDRUB,D,09/04/15,00:00:00,51.9002000
USDRUB,D,10/04/15,00:00:00,52.8387000
USDRUB,D,11/04/15,00:00:00,53.2353000
USDRUB,D,12/04/15,00:00:00,53.5100000
USDRUB,D,13/04/15,00:00:00,51.9392000
USDRUB,D,14/04/15,00:00:00,50.6562000
USDRUB,D,15/04/15,00:00:00,48.5835000
USDRUB,D,16/04/15,00:00:00,49.6987000
USDRUB,D,17/04/15,00:00:00,51.4360000
USDRUB,D,18/04/15,00:00:00,52.6570000
USDRUB,D,19/04/15,00:00:00,52.0867000
USDRUB,D,20/04/15,00:00:00,53.0360000
USDRUB,D,21/04/15,00:00:00,53.1543000
USDRUB,D,22/04/15,00:00:00,52.0902000
USDRUB,D,23/04/15,00:00:00,50.4978000
USDRUB,D,24/04/15,00:00:00,50.1832000
USDRUB,D,25/04/15,00:00:00,50.9420000
USDRUB,D,26/04/15,00:00:00,50.5557000
USDRUB,D,27/04/15,00:00:00,51.8801000
USDRUB,D,28/04/15,00:00:00,51.1732000
USDRUB,D,29/04/15,00:00:00,50.6775000
USDRUB,D,30/04/15,00:00:00,51.4814000
USDRUB,D,01/05/15,00:00:00,51.0801000
USDRUB,D,02/05/15,00:00:00,51.7980000
USDRUB,D,03/05/15,00:00:00,51.7264000
USDRUB,D,04/05/15,00:00:00,52.0432000
USDRUB,D,05/05/15,00:00:00,50.5526000
USDRUB,D,06/05/15,00:00:00,50.9843000
USDRUB,D,07/05/15,00:00:00,49.9470000
USDRUB,D,08/05/15,00:00:00,50.9739000
USDRUB,D,09/05/15,00:00:00,50.9339000
USDRUB,D,10/05/15,00:00:00,51.0526000
USDRUB,D,11/05/15,00:00:00,51.4511000
USDRUB,D,12/05/15,00:00:00,50.7557000
USDRUB,D,13/05/15,00:00:00,48.9644000
USDRUB,D,14/05/15,00:00:00,49.9500000
USDRUB,D,15/05/15,00:00:00,49.4851000
USDRUB,D,16/05/15,00:00:00,49.3900000
USDRUB,D,17/05/15,00:00:00,49.4982000
USDRUB,D,18/05/15,00:00:00,49.1285000
USDRUB,D,19/05/15,00:00:00,49.6450000
USDRUB,D,20/05/15,00:00:00,49.8295000
USDRUB,D,21/05/15,00:00:00,49.9775000
USDRUB,D,22/05/15,00:00:00,49.8800000
USDRUB,D,23/05/15,00:00:00,49.9551000
USDRUB,D,24/05/15,00:00:00,49.9857000
USDRUB,D,25/05/15,00:00:00,49.8495000
USDRUB,D,26/05/15,00:00:00,50.7208000
USDRUB,D,27/05/15,00:00:00,51.5495000
USDRUB,D,28/05/15,00:00:00,52.6595000
USDRUB,D,29/05/15,00:00:00,52.2850000
USDRUB,D,30/05/15,00:00:00,52.4099000
USDRUB,D,31/05/15,00:00:00,51.9659000
USDRUB,D,01/06/15,00:00:00,53.4100000
USDRUB,D,02/06/15,00:00:00,52.7773000
USDRUB,D,03/06/15,00:00:00,54.3380000
USDRUB,D,04/06/15,00:00:00,55.9600000
USDRUB,D,05/06/15,00:00:00,56.1150000
USDRUB,D,06/06/15,00:00:00,56.3720000
USDRUB,D,07/06/15,00:00:00,56.4065000
USDRUB,D,08/06/15,00:00:00,55.6320000
USDRUB,D,09/06/15,00:00:00,55.2835000
USDRUB,D,10/06/15,00:00:00,54.3105000
USDRUB,D,11/06/15,00:00:00,54.7603000
USDRUB,D,12/06/15,00:00:00,54.7963000
USDRUB,D,13/06/15,00:00:00,55.1238000
USDRUB,D,14/06/15,00:00:00,55.1679000
USDRUB,D,15/06/15,00:00:00,54.4795000
USDRUB,D,16/06/15,00:00:00,53.7845000
USDRUB,D,17/06/15,00:00:00,53.5600000
USDRUB,D,18/06/15,00:00:00,53.3720000
USDRUB,D,19/06/15,00:00:00,54.1200000
USDRUB,D,20/06/15,00:00:00,54.1242000
USDRUB,D,21/06/15,00:00:00,54.2124000
USDRUB,D,22/06/15,00:00:00,53.9344000
USDRUB,D,23/06/15,00:00:00,53.7094000
USDRUB,D,24/06/15,00:00:00,54.3650000
USDRUB,D,25/06/15,00:00:00,54.5964000
USDRUB,D,26/06/15,00:00:00,54.2160000
USDRUB,D,27/06/15,00:00:00,54.9340000
USDRUB,D,28/06/15,00:00:00,55.4364000
USDRUB,D,29/06/15,00:00:00,55.6259000
USDRUB,D,30/06/15,00:00:00,55.2282000
USDRUB,D,01/07/15,00:00:00,55.7225000
USDRUB,D,02/07/15,00:00:00,55.2716000
USDRUB,D,03/07/15,00:00:00,55.9064000
USDRUB,D,04/07/15,00:00:00,55.9369000
USDRUB,D,05/07/15,00:00:00,56.0040000
USDRUB,D,06/07/15,00:00:00,56.5472000
USDRUB,D,07/07/15,00:00:00,56.5131000
USDRUB,D,08/07/15,00:00:00,57.3735000
USDRUB,D,09/07/15,00:00:00,57.0967000
USDRUB,D,10/07/15,00:00:00,55.6597000
USDRUB,D,11/07/15,00:00:00,56.3646000
USDRUB,D,12/07/15,00:00:00,56.4485000
USDRUB,D,13/07/15,00:00:00,56.1933000
USDRUB,D,14/07/15,00:00:00,56.2788000
USDRUB,D,15/07/15,00:00:00,56.7584000
USDRUB,D,16/07/15,00:00:00,56.8443000
USDRUB,D,17/07/15,00:00:00,56.4233000
USDRUB,D,18/07/15,00:00:00,56.9566000
USDRUB,D,19/07/15,00:00:00,57.0191000
USDRUB,D,20/07/15,00:00:00,56.7774000
USDRUB,D,21/07/15,00:00:00,56.9401000
USDRUB,D,22/07/15,00:00:00,57.1107000
USDRUB,D,23/07/15,00:00:00,57.6940000
USDRUB,D,24/07/15,00:00:00,57.5830000
USDRUB,D,25/07/15,00:00:00,58.4437000
USDRUB,D,26/07/15,00:00:00,58.4195000
USDRUB,D,27/07/15,00:00:00,59.0954000
USDRUB,D,28/07/15,00:00:00,59.8098000
USDRUB,D,29/07/15,00:00:00,57.8594000
USDRUB,D,30/07/15,00:00:00,59.5371000
USDRUB,D,31/07/15,00:00:00,61.2897000
USDRUB,D,01/08/15,00:00:00,61.4746000
USDRUB,D,02/08/15,00:00:00,61.7230000
USDRUB,D,03/08/15,00:00:00,63.1682000
USDRUB,D,04/08/15,00:00:00,62.4044000
USDRUB,D,05/08/15,00:00:00,63.2031000
USDRUB,D,06/08/15,00:00:00,63.7899000
USDRUB,D,07/08/15,00:00:00,63.6169000
USDRUB,D,08/08/15,00:00:00,63.9906000
USDRUB,D,09/08/15,00:00:00,64.0285000
USDRUB,D,10/08/15,00:00:00,62.8782000
USDRUB,D,11/08/15,00:00:00,64.0268000
USDRUB,D,12/08/15,00:00:00,63.8469000
USDRUB,D,13/08/15,00:00:00,64.4923000
USDRUB,D,14/08/15,00:00:00,63.9434000
USDRUB,D,15/08/15,00:00:00,64.7814000
USDRUB,D,16/08/15,00:00:00,65.3193000
USDRUB,D,17/08/15,00:00:00,65.1406000
USDRUB,D,18/08/15,00:00:00,65.6348000
USDRUB,D,19/08/15,00:00:00,66.4809000
USDRUB,D,20/08/15,00:00:00,67.1164000
USDRUB,D,21/08/15,00:00:00,68.0658000
USDRUB,D,22/08/15,00:00:00,68.9287000
USDRUB,D,23/08/15,00:00:00,68.8191000
USDRUB,D,24/08/15,00:00:00,70.5079000
USDRUB,D,25/08/15,00:00:00,68.7685000
USDRUB,D,26/08/15,00:00:00,68.5680000
