<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ICE.BRN,D,09/10/11,00:00:00,104.1300000
ICE.BRN,D,10/10/11,00:00:00,107.0200000
ICE.BRN,D,11/10/11,00:00:00,107.7600000
ICE.BRN,D,12/10/11,00:00:00,108.6300000
ICE.BRN,D,13/10/11,00:00:00,109.3000000
ICE.BRN,D,14/10/11,00:00:00,112.6200000
ICE.BRN,D,16/10/11,00:00:00,112.7600000
ICE.BRN,D,17/10/11,00:00:00,109.8100000
ICE.BRN,D,18/10/11,00:00:00,111.1300000
ICE.BRN,D,19/10/11,00:00:00,108.5000000
ICE.BRN,D,20/10/11,00:00:00,109.9300000
ICE.BRN,D,21/10/11,00:00:00,109.7900000
ICE.BRN,D,23/10/11,00:00:00,109.5500000
ICE.BRN,D,24/10/11,00:00:00,111.2000000
ICE.BRN,D,25/10/11,00:00:00,111.0200000
ICE.BRN,D,26/10/11,00:00:00,109.5000000
ICE.BRN,D,27/10/11,00:00:00,112.3500000
ICE.BRN,D,28/10/11,00:00:00,110.1600000
ICE.BRN,D,30/10/11,00:00:00,109.8500000
ICE.BRN,D,31/10/11,00:00:00,109.1900000
ICE.BRN,D,01/11/11,00:00:00,109.5400000
ICE.BRN,D,02/11/11,00:00:00,109.7300000
ICE.BRN,D,03/11/11,00:00:00,110.8300000
ICE.BRN,D,04/11/11,00:00:00,112.4800000
ICE.BRN,D,06/11/11,00:00:00,113.1500000
ICE.BRN,D,07/11/11,00:00:00,114.8800000
ICE.BRN,D,08/11/11,00:00:00,115.1400000
ICE.BRN,D,09/11/11,00:00:00,111.1700000
ICE.BRN,D,10/11/11,00:00:00,111.9000000
ICE.BRN,D,11/11/11,00:00:00,112.9600000
ICE.BRN,D,13/11/11,00:00:00,113.3000000
ICE.BRN,D,14/11/11,00:00:00,111.2700000
ICE.BRN,D,15/11/11,00:00:00,112.2000000
ICE.BRN,D,16/11/11,00:00:00,110.8900000
ICE.BRN,D,17/11/11,00:00:00,107.7400000
ICE.BRN,D,18/11/11,00:00:00,107.8100000
ICE.BRN,D,20/11/11,00:00:00,107.4800000
ICE.BRN,D,21/11/11,00:00:00,106.7000000
ICE.BRN,D,22/11/11,00:00:00,108.6200000
ICE.BRN,D,23/11/11,00:00:00,106.9400000
ICE.BRN,D,24/11/11,00:00:00,107.7600000
ICE.BRN,D,25/11/11,00:00:00,106.6400000
ICE.BRN,D,27/11/11,00:00:00,107.3900000
ICE.BRN,D,28/11/11,00:00:00,108.6800000
ICE.BRN,D,29/11/11,00:00:00,110.4400000
ICE.BRN,D,30/11/11,00:00:00,110.3700000
